iter	Passed	Remaining
386	7809	12369
387	7831	12352
388	7856	12340
389	7877	12320
390	7901	12307
391	7926	12294
392	7949	12278
393	7971	12260
394	7995	12246
395	8022	12235
396	8044	12218
397	8065	12199
398	8086	12180
399	8105	12157
400	8131	12146
401	8150	12124
402	8166	12098
403	8185	12076
404	8202	12050
405	8224	12032
406	8242	12009
407	8261	11987
408	8278	11962
409	8296	11939
410	8318	11921
411	8342	11906
412	8361	11884
413	8380	11862
414	8399	11840
415	8419	11819
416	8439	11798
417	8456	11774
418	8472	11748
419	8489	11723
420	8505	11697
421	8521	11672
422	8538	11647
423	8558	11626
424	8575	11601
425	8591	11576
426	8607	11550
427	8624	11525
428	8644	11505
429	8661	11481
430	8677	11455
431	8693	11430
432	8710	11406
433	8728	11382
434	8746	11359
435	8766	11339
436	8789	11324
437	8808	11302
438	8826	11279
439	8848	11261
440	8869	11242
441	8885	11217
442	8901	11192
443	8919	11169
444	8938	11148
445	8957	11126
446	8977	11106
447	8993	11081
448	9013	11060
449	9030	11037
450	9048	11014
451	9064	10990
452	9082	10967
453	9099	10942
454	9117	10921
455	9134	10897
456	9151	10873
457	9167	10848
458	9184	10825
459	9201	10801
460	9216	10776
461	9232	10751
462	9247	10725
463	9263	10700
464	9280	10678
465	9303	10661
466	9320	10637
467	9337	10614
468	9355	10591
469	9373	10569
470	9393	10550
471	9414	10531
472	9433	10510
473	9453	10490
474	9470	10467
475	9487	10444
476	9506	10423
477	9525	10402
478	9541	10377
479	9558	10354
480	9576	10333
481	9593	10310
482	9611	10288
483	9629	10266
484	9647	10244
485	9665	10222
486	9688	10205
487	9706	10184
488	9725	10163
489	9744	10141
490	9760	10118
491	9776	10094
492	9792	10070
493	9808	10046
494	9828	10027
495	9847	10006
496	9864	9983
497	9881	9961
498	9899	9938
499	9918	9918
500	9935	9895
501	9954	9874
502	9972	9853
503	9990	9832
504	10007	9808
505	10024	9786
506	10041	9764
507	10060	9744
508	10079	9722
509	10097	9701
510	10111	9676
511	10130	9655
512	10149	9634
513	10162	9608
514	10177	9584
515	10193	9561
516	10209	9538
517	10227	9517
518	10249	9499
519	10264	9475
520	10282	9453
521	10298	9430
522	10314	9407
523	10329	9383
524	10346	9361
525	10365	9340
526	10383	9319
527	10399	9296
528	10415	9273
529	10434	9253
530	10450	9230
531	10467	9208
532	10483	9185
533	10497	9160
534	10512	9136
535	10527	9113
536	10543	9090
537	10558	9067
538	10575	9045
539	10589	9021
540	10605	8997
541	10621	8975
542	10635	8951
543	10655	8931
544	10670	8908
545	10687	8886
546	10702	8863
547	10719	8841
548	10736	8819
549	10753	8798
550	10772	8778
551	10790	8757
552	10807	8735
553	10825	8715
554	10844	8695
555	10865	8676
556	10884	8656
557	10900	8634
558	10919	8614
559	10935	8592
560	10952	8570
561	10968	8548
562	10987	8528
563	11003	8506
564	11022	8486
565	11045	8469
566	11063	8449
567	11081	8428
568	11097	8406
569	11114	8384
570	11130	8362
571	11147	8341
572	11163	8318
573	11181	8298
574	11198	8277
575	11214	8254
576	11233	8235
577	11249	8213
578	11264	8190
579	11284	8171
580	11299	8149
581	11314	8126
582	11333	8106
583	11349	8084
584	11363	8061
585	11383	8042
586	11403	8022
587	11419	8001
588	11437	7980
589	11454	7960
590	11470	7938
591	11490	7919
592	11508	7898
593	11526	7878
594	11542	7856
595	11558	7835
596	11576	7814
597	11594	7794
598	11609	7772
599	11625	7750
600	11643	7730
601	11658	7708
602	11679	7689
603	11699	7670
604	11718	7651
605	11735	7630
606	11752	7609
607	11771	7589
608	11790	7569
609	11812	7552
610	11828	7530
611	11846	7510
612	11863	7489
613	11879	7468
614	11899	7449
615	11917	7428
616	11934	7408
617	11951	7387
618	11969	7367
619	11988	7347
620	12002	7325
621	12023	7306
622	12042	7287
623	12060	7266
624	12076	7245
625	12095	7226
626	12114	7207
627	12133	7187
628	12152	7167
629	12168	7146
630	12183	7124
631	12199	7103
632	12215	7082
633	12233	7062
634	12249	7040
635	12267	7020
636	12284	7000
637	12299	6978
638	12315	6957
639	12335	6938
640	12352	6918
641	12372	6899
642	12391	6879
643	12408	6859
644	12425	6838
645	12441	6817
646	12458	6797
647	12475	6776
648	12491	6755
649	12510	6736
650	12528	6716
651	12546	6696
652	12563	6676
653	12581	6656
654	12600	6636
655	12617	6616
656	12635	6596
657	12652	6575
658	12669	6556
659	12686	6535
660	12702	6514
661	12719	6494
662	12737	6474
663	12758	6456
664	12780	6438
665	12797	6417
666	12814	6397
667	12832	6377
668	12849	6357
669	12869	6338
670	12887	6319
671	12903	6298
672	12921	6278
673	12937	6257
674	12953	6237
675	12973	6218
676	12989	6197
677	13007	6177
678	13026	6158
679	13042	6137
680	13062	6118
681	13082	6099
682	13100	6080
683	13118	6060
684	13136	6040
685	13153	6020
686	13201	6014
687	13256	6011
688	13284	5996
689	13310	5980
690	13326	5959
691	13343	5938
692	13361	5919
693	13378	5898
694	13392	5877
695	13407	5856
696	13423	5835
697	13440	5815
698	13458	5795
699	13475	5775
700	13493	5755
701	13511	5735
702	13543	5721
703	13563	5702
704	13581	5683
705	13601	5664
706	13620	5644
707	13641	5626
708	13662	5607
709	13679	5587
710	13697	5567
711	13717	5548
712	13741	5531
713	13767	5514
714	13799	5500
715	13827	5484
716	13866	5473
717	13900	5459
718	13924	5441
719	13949	5424
720	13968	5405
721	13990	5386
722	14016	5370
723	14040	5352
724	14064	5334
725	14087	5316
726	14112	5299
727	14136	5281
728	14159	5263
729	14182	5245
730	14205	5227
731	14227	5209
732	14248	5190
733	14270	5171
734	14297	5154
735	14320	5136
736	14338	5116
737	14361	5098
738	14384	5080
739	14411	5063
740	14432	5044
741	14458	5027
742	14479	5008
743	14501	4989
744	14526	4972
745	14546	4952
746	14572	4935
747	14592	4916
748	14615	4897
749	14635	4878
750	14658	4860
751	14682	4842
752	14708	4824
753	14732	4806
754	14757	4788
755	14778	4769
756	14798	4750
757	14821	4732
758	14855	4716
759	14890	4702
760	14912	4683
761	14938	4665
762	14959	4646
763	14986	4629
764	15021	4614
765	15047	4596
766	15069	4577
767	15100	4561
768	15136	4546
769	15163	4529
770	15187	4510
771	15208	4491
772	15232	4473
773	15256	4454
774	15278	4435
775	15300	4416
776	15321	4397
777	15342	4377
778	15367	4359
779	15388	4340
780	15415	4322
781	15436	4303
782	15460	4284
783	15482	4265
784	15505	4246
785	15527	4227
786	15545	4207
787	15563	4187
788	15581	4167
789	15602	4147
790	15622	4127
791	15643	4108
792	15661	4088
793	15680	4068
794	15697	4047
795	15715	4027
796	15733	4007
797	15755	3988
798	15774	3968
799	15791	3947
800	15809	3927
801	15828	3907
802	15847	3887
803	15872	3869
804	15891	3849
805	15912	3829
806	15930	3809
807	15949	3789
808	15969	3770
809	15990	3750
810	16008	3730
811	16027	3710
812	16046	3690
813	16065	3671
814	16085	3651
815	16104	3631
816	16122	3611
817	16145	3592
818	16163	3572
819	16186	3553
820	16207	3533
821	16229	3514
822	16248	3494
823	16269	3474
824	16293	3456
825	16316	3437
826	16334	3417
827	16354	3397
828	16373	3377
829	16389	3356
830	16407	3336
831	16423	3316
832	16441	3296
833	16460	3276
834	16481	3256
835	16499	3236
836	16520	3217
837	16539	3197
838	16561	3178
839	16582	3158
840	16601	3138
841	16619	3118
842	16635	3098
843	16652	3077
844	16670	3057
845	16690	3038
846	16706	3017
847	16725	2997
848	16744	2978
849	16763	2958
850	16779	2937
851	16800	2918
852	16818	2898
853	16838	2878
854	16854	2858
855	16871	2838
856	16890	2818
857	16909	2798
858	16929	2778
859	16950	2759
860	16972	2740
861	16991	2720
862	17009	2700
863	17026	2680
864	17042	2659
865	17060	2639
866	17078	2619
867	17096	2599
868	17114	2580
869	17132	2559
870	17147	2539
871	17165	2519
872	17179	2499
873	17197	2479
874	17214	2459
875	17231	2439
876	17248	2419
877	17265	2399
878	17278	2378
879	17295	2358
880	17311	2338
881	17328	2318
882	17342	2297
883	17361	2278
884	17384	2258
885	17401	2239
886	17421	2219
887	17438	2199
888	17457	2179
889	17476	2160
890	17496	2140
891	17516	2120
892	17533	2100
893	17551	2081
894	17569	2061
895	17586	2041
896	17603	2021
897	17621	2001
898	17639	1981
899	17656	1961
900	17673	1941
901	17690	1921
902	17707	1902
903	17723	1882
904	17743	1862
905	17758	1842
906	17797	1824
907	17832	1806
908	17852	1787
909	17869	1767
910	17885	1747
911	17902	1727
912	17918	1707
913	17936	1687
914	17958	1668
915	17976	1648
916	17993	1628
917	18014	1609
918	18036	1589
919	18058	1570
920	18077	1550
921	18096	1530
922	18114	1511
923	18131	1491
924	18152	1471
925	18168	1451
926	18186	1432
927	18204	1412
928	18223	1392
929	18242	1373
930	18263	1353
931	18281	1333
932	18298	1314
933	18317	1294
934	18338	1274
935	18358	1255
936	18375	1235
937	18389	1215
938	18404	1195
939	18419	1175
940	18439	1156
941	18455	1136
942	18473	1116
943	18492	1096
944	18507	1077
945	18527	1057
946	18543	1037
947	18562	1018
948	18578	998
949	18598	978
950	18615	959
951	18631	939
952	18646	919
953	18662	899
954	18681	880
955	18700	860
956	18713	840
957	18730	821
958	18745	801
959	18760	781
960	18778	762
961	18798	742
962	18817	723
963	18834	703
964	18854	683
965	18872	664
966	18890	644
967	18910	625
968	18931	605
969	18947	586
970	18964	566
971	18981	546
972	18998	527
973	19015	507
974	19032	488
975	19048	468
976	19069	448
977	19087	429
978	19105	409
979	19123	390
980	19142	370
981	19158	351
982	19174	331
983	19191	312
984	19210	292
985	19232	273
986	19248	253
987	19267	234
988	19285	214
989	19303	194
990	19326	175
991	19344	156
992	19361	136
993	19378	116
994	19393	97
995	19408	77
996	19425	58
997	19439	38
998	19456	19
999	19474	0
